Code,Company,Price,Change,Volume,Value,Capitalisation
AFI,Australian Foundation Investment Company Limited,$8.730,-$0.010 / -0.11%,"1,110","$9,758.71","$10,703,253,493"
AMP,AMP Limited,$1.140,$0.000 / 0.00%,"15,514","$17,707.16","$3,917,723,135"
ANZ,Australia and New Zealand Banking Group Limited,$28.990,-$0.020 / -0.07%,"28,778","$827,850.09","$82,294,466,216"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
MHJ,Michael Hill International Limited,$0.870,$0.010 / 1.16%,"1,241,671","$1,068,254.48","$337,808,275"
WBC,Westpac Banking Corporation,$27.060,$0.230 / 0.86%,"18,921","$506,164.42","$99,272,094,324"
AKL,Auckland Real Estate Trust,$0.790,$0.000 / 0.00%,0,$0.00,"$63,470,299"
DGC,DGL Group Limited,$2.480,-$0.090 / -3.50%,"131,933","$337,465.34","$682,000,000"
CRP,Chatham Rock Phosphate Limited,$0.135,$0.000 / 0.00%,"5,387",$727.20,"$8,738,594"
TCL,The City of London Investment Trust Plc,$7.850,-$0.050 / -0.63%,"1,159","$9,103.22","$3,505,416,464"
FCT,F&C Investment Trust PLC,$17.450,$0.000 / 0.00%,12,$210.00,"$9,268,110,642"
TEM,Templeton Emerging Markets Investment Trust Plc,$3.580,-$0.090 / -2.45%,"1,013","$3,663.17","$4,228,798,585"
BIT,The Bankers Investment Trust Plc,$2.320,$0.010 / 0.43%,"29,885","$69,161.36","$3,051,038,566"
JPG,JPMorgan Global Growth & Income plc,$9.340,$0.000 / 0.00%,16,$150.08,"$1,437,279,222"
HFL,Henderson Far East Income Limited,$6.390,-$0.010 / -0.16%,"2,831","$18,111.53","$965,487,874"
AFT,AFT Pharmaceuticals Limited,$4.220,$0.070 / 1.69%,"34,650","$145,335.93","$441,744,853"
AGG,Smartshares Global Aggregate Bond ETF,$1.328,-$0.002 / -0.15%,"22,131","$29,421.59","$161,862,789"
AIA,Auckland International Airport Limited,$7.230,$0.020 / 0.28%,"1,286,211","$9,188,556.75","$10,647,240,970"
AIR,Air New Zealand Limited (NS),$1.535,$0.025 / 1.66%,"606,392","$921,605.58","$1,723,513,418"
ALF,Allied Farmers Limited,$0.620,-$0.010 / -1.59%,"50,975","$31,648.56","$17,859,989"
APA,Smartshares Asia Pacific ETF,$2.346,$0.015 / 0.64%,"504,283","$1,182,075.42","$131,706,143"
PCT,Precinct Properties New Zealand Limited (NS),$1.690,-$0.020 / -1.17%,"759,998","$1,300,732.83","$2,498,221,769"
ARG,Argosy Property Limited,$1.640,-$0.010 / -0.61%,"1,339,059","$2,209,132.73","$1,381,813,977"
ARV,Arvida Group Limited,$2.100,$0.020 / 0.96%,"390,519","$813,621.17","$1,140,667,206"
ASD,Smartshares Australian Dividend ETF,$1.675,-$0.020 / -1.18%,"93,095","$157,024.38","$32,335,106"
ASF,Smartshares Australian Financials ETF,$7.883,$0.082 / 1.05%,"30,983","$241,739.93","$29,683,184"
ASP,Smartshares Australian Property ETF,$1.634,$0.009 / 0.55%,"97,189","$158,123.53","$66,458,916"
ASR,Smartshares Australian Resources ETF,$5.538,-$0.007 / -0.13%,"59,587","$328,795.98","$43,238,672"
ATM,The a2 Milk Company Limited,$5.940,-$0.090 / -1.49%,"1,040,155","$6,200,040.70","$4,417,012,958"
AUS,Smartshares S&P/ASX 200 ETF,$3.103,$0.001 / 0.03%,"77,335","$240,095.37","$45,032,933"
